City,2009,2010,2011,2012,2013,2014,2015,2016,2017,Prop_2009,Prop_2010,Prop_2011,Prop_2012,Prop_2013,Prop_2014,Prop_2015,Prop_2016,Prop_2017,latitude,longitude
Berlin,"521,500","514,933","538,432","538,432","459,255","496,251","540,309","607,219","663,831",10.4,10.2,10.7,11,9.3,9.9,10.7,11.8,12.7,52.517037,13.38886
München,"441,934","453,275","476,675","476,675","445,195","473,045","503,227","547,371","574,335",16.7,17.1,17.7,17.7,16.3,17.1,17.9,19.2,19.9,49.556071,11.580791
Madrid,"1,152,329","1,085,107","951,825","1,021,465","966,305","886,068","837,706","818,459","821,013",16.7,16.6,14.7,15.5,14.7,13.6,12.6,12.3,12.2,40.416705,-3.703582
Barcelona,"698,213","728,223","684,255","716,657","698,459","661,449","623,390","626,045","648,671",14.6,14.9,14,14.6,14.2,13.5,12.7,12.7,13.1,41.382894,2.177432
Paris,"1,446,088","1,519,181","1,540,958","1,574,912","1,615,935","1,654,568","1,699,711","1,723,291","1,760,312",12.4,12.2,12.3,12.5,12.8,13,13.3,13.6,13.9,48.85661,2.351499
Lyon,"136,346","143,547","145,552","148,827","153,504","158,644","164,980","171,921","175,432",7.3,7.3,7.4,7.4,7.6,7.8,8,8.2,8.5,45.757814,4.832011
Milano,"401,930","433,369","471,961","473,580","520,395","593,692","619,653","625,353","625,649",8.6,9,9.7,9.7,10.5,11.7,12.2,12.2,12.2,45.4642,9.19
Napoli,"81,924","82,595","81,317","82,185","95,151","116,309","123,546","133,084","139,472",2.4,2.5,2.4,2.5,2.8,3.4,3.6,3.9,4.1,40.835934,14.248783
Venice,"41,341","42,707","43,304","43,612","46,288","52,416","54,281","54,699","55,968",7.6,7.7,7.8,7.9,8.3,9.3,9.6,9.7,10,45.4408,12.3155
Helsinki,"72,121","75,596","81,753","89,744","96,490","103,354","111,492","117,916","121,981",5.3,5.7,6.1,6.6,7,7.4,7.8,8.1,8.4,60.167409,24.942568
Zürich,"300,636","305,931","303,692","313,813","322,379","331,984","351,977","361,389","377,323",25.6,25.7,25.6,26.1,26.5,26.9,26.8,27.1,27.8,47.372396,8.542322
Genève,"197,131","200,863","203,510","206,900","209,650","216,434","227,997","230,548","259,311",37.7,38.1,38.3,38.6,38.9,39.6,40,39.8,40.1,46.201756,6.146601
